Issue key,Priority,files changed
HIVE-19497,Blocker,/Users/mac/hive/hive/ql/src/java/org/apache/hadoop/hive/ql/metadata/SessionHiveMetaStoreClient.java
HIVE-18636,Blocker,/Users/mac/hive/hive/ql/src/test/org/apache/hadoop/hive/ql/TestTxnNoBuckets.java
HIVE-18819,Critical,/Users/mac/hive/hive/ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorizationContext.java; /Users/mac/hive/hive/ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/IfExprNullCondExpr.java; /Users/mac/hive/hive/ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/IfExprCondExprNull.java; /Users/mac/hive/hive/ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/IfExprCondExprCondExpr.java; /Users/mac/hive/hive/ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/IfExprColumnCondExpr.java; /Users/mac/hive/hive/ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/IfExprCondExprBase.java; /Users/mac/hive/hive/ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/IfExprCondExprColumn.java; /Users/mac/hive/hive/common/src/java/org/apache/hadoop/hive/conf/HiveConf.java
HIVE-18493,Critical,/Users/mac/hive/hive/cli/src/java/org/apache/hadoop/hive/cli/CliDriver.java; /Users/mac/hive/hive/beeline/src/java/org/apache/hive/beeline/Rows.java; /Users/mac/hive/hive/beeline/src/java/org/apache/hive/beeline/BeeLine.java; /Users/mac/hive/hive/beeline/src/java/org/apache/hive/beeline/BeeLineOpts.java; /Users/mac/hive/hive/itests/hive-unit/src/test/java/org/apache/hive/beeline/TestBeeLineWithArgs.java; /Users/mac/hive/hive/common/src/java/org/apache/hadoop/hive/common/cli/EscapeCRLFHelper.java; /Users/mac/hive/hive/common/src/java/org/apache/hadoop/hive/conf/HiveConf.java; /Users/mac/hive/hive/itests/util/src/main/java/org/apache/hive/beeline/QFileBeeLineClient.java
HIVE-18800,Critical,/Users/mac/hive/hive/ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/VectorCoalesce.java
HIVE-17574,Major,/Users/mac/hive/hive/ql/src/java/org/apache/hadoop/hive/ql/util/ResourceDownloader.java; /Users/mac/hive/hive/ql/src/java/org/apache/hadoop/hive/ql/exec/Utilities.java; /Users/mac/hive/hive/ql/src/java/org/apache/hadoop/hive/ql/session/SessionState.java; /Users/mac/hive/hive/ql/src/test/org/apache/hadoop/hive/ql/session/TestAddResource.java; /Users/mac/hive/hive/ql/src/java/org/apache/hadoop/hive/ql/exec/tez/DagUtils.java; /Users/mac/hive/hive/common/src/java/org/apache/hadoop/hive/conf/HiveConf.java
HIVE-17163,Major,/Users/mac/hive/hive/itests/hive-jmh/src/main/java/org/apache/hive/benchmark/vectorization/BlackholeOperator.java; /Users/mac/hive/hive/itests/hive-jmh/src/main/java/org/apache/hive/benchmark/vectorization/mapjoin/MapJoinMultiKeyBench.java; /Users/mac/hive/hive/itests/hive-jmh/src/main/java/org/apache/hive/benchmark/vectorization/ColumnVectorGenUtil.java; /Users/mac/hive/hive/itests/hive-jmh/src/main/java/org/apache/hive/benchmark/vectorization/mapjoin/MapJoinOneLongKeyBench.java; /Users/mac/hive/hive/itests/hive-jmh/src/main/java/org/apache/hive/benchmark/vectorization/operators/VectorGroupByOperatorBench.java; /Users/mac/hive/hive/itests/hive-jmh/src/main/java/org/apache/hive/benchmark/vectorization/mapjoin/AbstractMapJoin.java; /Users/mac/hive/hive/itests/hive-jmh/src/main/java/org/apache/hive/benchmark/vectorization/operators/AbstractOperatorBench.java; /Users/mac/hive/hive/itests/hive-jmh/src/main/java/org/apache/hive/benchmark/vectorization/mapjoin/MapJoinOneStringKeyBench.java; /Users/mac/hive/hive/itests/hive-jmh/src/main/java/org/apache/hive/benchmark/vectorization/operators/VectorSelectOperatorBench.java; /Users/mac/hive/hive/itests/hive-jmh/src/main/java/org/apache/hive/benchmark/vectorization/AbstractExpression.java; /Users/mac/hive/hive/ql/src/test/org/apache/hadoop/hive/ql/exec/vector/util/batchgen/VectorBatchGenerateUtil.java; /Users/mac/hive/hive/itests/hive-jmh/src/main/java/org/apache/hive/benchmark/vectorization/VectorizedLikeBench.java
HIVE-18806,Major,/Users/mac/hive/hive/itests/hive-unit/src/test/java/org/apache/hive/beeline/TestBeeLineWithArgs.java; /Users/mac/hive/hive/beeline/src/test/org/apache/hive/beeline/cli/TestHiveCli.java
HIVE-18769,Major,/Users/mac/hive/hive/ql/src/java/org/apache/hadoop/hive/ql/plan/MapJoinDesc.java; /Users/mac/hive/hive/ql/src/java/org/apache/hadoop/hive/ql/plan/VectorMapJoinDesc.java; /Users/mac/hive/hive/ql/src/java/org/apache/hadoop/hive/ql/optimizer/physical/Vectorizer.java
HIVE-18528,Major,/Users/mac/hive/hive/standalone-metastore/src/main/java/org/apache/hadoop/hive/metastore/columnstats/aggr/StringColumnStatsAggregator.java
HIVE-17790,Major,/Users/mac/hive/hive/ql/src/java/org/apache/hadoop/hive/ql/parse/repl/dump/TableExport.java
local,No bug,/Users/mac/hive/hive/druid-handler/src/test/org/apache/hadoop/hive/druid/QTestDruidSerDe.java; /Users/mac/hive/hive/druid-handler/src/test/org/apache/hadoop/hive/druid/QTestDruidStorageHandler.java; /Users/mac/hive/hive/druid-handler/src/test/org/apache/hadoop/hive/druid/TestHiveDruidQueryBasedInputFormat.java; /Users/mac/hive/hive/druid-handler/src/test/org/apache/hadoop/hive/druid/TestDruidStorageHandler.java; /Users/mac/hive/hive/druid-handler/src/test/org/apache/hadoop/hive/druid/QTestDruidSerDe2.java; /Users/mac/hive/hive/druid-handler/src/test/org/apache/hadoop/hive/druid/DerbyConnectorTestUtility.java; /Users/mac/hive/hive/druid-handler/src/test/org/apache/hadoop/hive/druid/DruidStorageHandlerUtilsTest.java; /Users/mac/hive/hive/druid-handler/src/test/org/apache/hadoop/hive/druid/QTestDruidStorageHandler2.java; /Users/mac/hive/hive/druid-handler/src/test/org/apache/hadoop/hive/druid/io/TestHiveDruidSplit.java; /Users/mac/hive/hive/druid-handler/src/test/org/apache/hadoop/hive/druid/serde/TestDruidSerDe.java; /Users/mac/hive/hive/druid-handler/src/test/org/apache/hadoop/hive/ql/io/TestDruidRecordWriter.java; /Users/mac/hive/hive/druid-handler/src/java/org/apache/hadoop/hive/druid/DruidStorageHandler.java; /Users/mac/hive/hive/druid-handler/src/java/org/apache/hadoop/hive/druid/DruidStorageHandlerUtils.java; /Users/mac/hive/hive/druid-handler/src/java/org/apache/hadoop/hive/druid/DruidStorageHandlerInfo.java; /Users/mac/hive/hive/druid-handler/src/java/org/apache/hadoop/hive/druid/security/ResponseCookieHandler.java; /Users/mac/hive/hive/druid-handler/src/java/org/apache/hadoop/hive/druid/security/DruidKerberosUtil.java; /Users/mac/hive/hive/druid-handler/src/java/org/apache/hadoop/hive/druid/security/RetryResponseHolder.java; /Users/mac/hive/hive/druid-handler/src/java/org/apache/hadoop/hive/druid/security/KerberosHttpClient.java; /Users/mac/hive/hive/druid-handler/src/java/org/apache/hadoop/hive/druid/security/RetryIfUnauthorizedResponseHandler.java; /Users/mac/hive/hive/druid-handler/src/java/org/apache/hadoop/hive/druid/io/HiveDruidSplit.java; /Users/mac/hive/hive/druid-handler/src/java/org/apache/hadoop/hive/druid/io/DruidQueryBasedInputFormat.java; /Users/mac/hive/hive/druid-handler/src/java/org/apache/hadoop/hive/druid/io/DruidOutputFormat.java; /Users/mac/hive/hive/druid-handler/src/java/org/apache/hadoop/hive/druid/io/DruidRecordWriter.java; /Users/mac/hive/hive/druid-handler/src/java/org/apache/hadoop/hive/druid/json/KafkaSupervisorIOConfig.java; /Users/mac/hive/hive/druid-handler/src/java/org/apache/hadoop/hive/druid/json/TaskReportData.java; /Users/mac/hive/hive/druid-handler/src/java/org/apache/hadoop/hive/druid/json/KafkaSupervisorReport.java; /Users/mac/hive/hive/druid-handler/src/java/org/apache/hadoop/hive/druid/json/KafkaSupervisorSpec.java; /Users/mac/hive/hive/druid-handler/src/java/org/apache/hadoop/hive/druid/json/KafkaSupervisorTuningConfig.java; /Users/mac/hive/hive/druid-handler/src/java/org/apache/hadoop/hive/druid/json/KafkaTuningConfig.java; /Users/mac/hive/hive/druid-handler/src/java/org/apache/hadoop/hive/druid/serde/DruidSelectQueryRecordReader.java; /Users/mac/hive/hive/druid-handler/src/java/org/apache/hadoop/hive/druid/serde/HiveDruidSerializationModule.java; /Users/mac/hive/hive/druid-handler/src/java/org/apache/hadoop/hive/druid/serde/DruidSerDe.java; /Users/mac/hive/hive/druid-handler/src/java/org/apache/hadoop/hive/druid/serde/PeriodGranularitySerializer.java; /Users/mac/hive/hive/druid-handler/src/java/org/apache/hadoop/hive/druid/serde/DruidWritable.java; /Users/mac/hive/hive/druid-handler/src/java/org/apache/hadoop/hive/druid/serde/DruidGroupByQueryRecordReader.java; /Users/mac/hive/hive/druid-handler/src/java/org/apache/hadoop/hive/druid/serde/DruidTopNQueryRecordReader.java; /Users/mac/hive/hive/druid-handler/src/java/org/apache/hadoop/hive/druid/serde/DruidScanQueryRecordReader.java; /Users/mac/hive/hive/druid-handler/src/java/org/apache/hadoop/hive/druid/serde/DruidTimeseriesQueryRecordReader.java; /Users/mac/hive/hive/druid-handler/src/java/org/apache/hadoop/hive/druid/serde/DruidQueryRecordReader.java; /Users/mac/hive/hive/druid-handler/src/java/org/apache/hadoop/hive/druid/serde/DruidSerDeUtils.java; /Users/mac/hive/hive/service-rpc/src/gen/thrift/gen-javabean/org/apache/hive/service/rpc/thrift/TOperationState.java; /Users/mac/hive/hive/service-rpc/src/gen/thrift/gen-javabean/org/apache/hive/service/rpc/thrift/TGetDelegationTokenResp.java; /Users/mac/hive/hive/service-rpc/src/gen/thrift/gen-javabean/org/apache/hive/service/rpc/thrift/TGetCatalogsReq.java; /Users/mac/hive/hive/service-rpc/src/gen/thrift/gen-javabean/org/apache/hive/service/rpc/thrift/TExecuteStatementReq.java
