Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode,Priority,CommitCount,FixCommitCount,AddedLines,DeletedLines,CommitCountBeforeRelease,DevelopersInVersion,DevelopersAllVersions,AvgTimeBetweenCommits,AvgTimeBetweenCommitsAllVersions,AvgExpertise,MinExpertise
File,CliDriver.java,27,2,22,3,4,,,,,11,5,5,33,,33,28,4,33,,2,7,1,23,,919,101,691,197,457,130,,358,507,210,357,,17,,6,,,0.19,139,0,0,0.00,0.00,Critical,23,3,183,98,111,34,13,752.8506616161616,1047.8564015151514,241.7941176470588,13
File,Rows.java,19,2,16,1,4,,,,,2,0,0,6,,7,7,12,7,,5,0,0,2,,182,24,121,38,68,37,,68,92,38,59,,11,,4,,,0.31,24,0,0,0.00,0.00,Critical,5,0,24,15,8,8,5,6097.341349206349,3068.9040972222224,329.25,23
File,BeeLine.java,13,1,10,2,3,,,,,3,9,16,138,,138,129,27,138,,86,17,3,32,,2443,337,1762,397,1162,374,,729,1091,399,802,,15,,5,,,0.21,369,0,0,0.00,0.00,Critical,70,1,810,329,97,39,29,466.6678616898148,377.18405394524956,160.2051282051282,1
File,BeeLineOpts.java,4,0,4,0,1,,,,,4,2,13,103,,104,102,45,104,,3,0,0,101,,708,129,523,222,242,59,,238,370,211,181,,6,,3,,,0.11,129,0,0,0.00,0.00,Critical,26,0,216,32,40,24,17,1094.394601139601,940.0283666666667,181.16666666666666,1
File,TestBeeLineWithArgs.java,13,1,10,3,1,,,,,8,4,4,75,,72,72,6,76,,4,10,0,62,,1148,129,770,410,493,249,,435,521,314,299,,5,,3,,,0.32,84,0,0,0.00,0.00,Critical,26,0,594,89,41,23,16,943.9213263888888,1031.3018777777777,205.6086956521739,13
File,EscapeCRLFHelper.java,23,3,18,3,5,,,,,1,1,2,2,,2,1,0,2,,0,0,0,2,,79,9,40,11,26,30,,17,27,11,18,,8,,3,,,0.75,9,0,0,0.00,0.00,Critical,1,0,79,0,1,1,1,0,0,143.0,143
File,HiveConf.java,7,0,6,1,2,,,,,12,70,38,157,,156,87,1040,157,,20,21,0,116,,5781,392,4698,3746,905,704,,585,876,351,598,,18,,4,,,0.15,293,0,0,0.00,0.00,Critical,649,20,3075,398,1259,107,81,67.55421723193781,49.49007415980796,105.58878504672897,1
File,QFileBeeLineClient.java,8,1,7,0,1,,,,,2,0,0,20,,20,15,10,15,,0,5,1,9,,246,30,186,63,114,30,,80,108,56,62,,3,,2,,,0.16,28,0,0,0.00,0.00,Critical,7,0,246,0,7,4,4,1123.4887037037038,1123.4887037037038,193.0,112
File,VectorCoalesce.java,41,5,28,8,6,,,,,1,0,1,5,,5,5,2,5,,0,0,0,5,,252,36,154,39,102,62,,91,123,44,79,,27,,7,,,0.40,31,0,0,0.00,0.00,Critical,11,0,180,59,12,4,3,3361.9448484848485,2007.0370833333334,169.0,27
File,ResourceDownloader.java,6,0,5,1,2,,,,,2,6,1,13,,11,7,7,13,,0,4,0,9,,134,16,93,41,42,25,,53,73,37,42,,6,,1,,,0.27,24,0,0,0.00,0.00,Major,7,0,134,0,7,7,7,3135.500185185185,3135.500185185185,267.42857142857144,7
File,Utilities.java,17,1,13,4,3,,,,,11,214,45,232,,228,18,16,232,,6,44,2,180,,4515,430,3197,1059,1958,904,,1547,2284,997,1658,,22,,5,,,0.28,694,0,0,0.00,0.00,Major,183,15,1844,1210,437,80,52,194.2443858307849,174.59843406593407,132.4375,1
File,SessionState.java,9,0,7,2,2,,,,,9,28,9,176,,172,148,69,176,,5,13,2,156,,2098,279,1405,455,760,415,,670,993,443,649,,17,,5,,,0.30,326,0,0,0.00,0.00,Major,82,6,758,328,203,57,38,420.6952956545654,329.79877914951993,163.50877192982455,1
File,TestAddResource.java,31,5,25,2,2,,,,,1,1,1,9,,9,8,2,9,,0,2,0,7,,346,60,249,94,187,37,,208,234,96,176,,3,,2,,,0.15,19,0,0,0.00,0.00,Major,6,0,2,8,7,7,6,4103.057083333333,4690.005,309.85714285714283,19
File,DagUtils.java,25,2,18,4,3,,,,,3,14,6,54,,54,40,1,54,,2,24,0,28,,1584,176,1116,423,716,298,,594,771,365,552,,12,,4,,,0.27,187,0,0,0.00,0.00,Major,49,1,522,132,129,24,20,309.38459852430555,621.8190798611112,240.5,1
File,HiveConf.java,7,0,6,1,2,,,,,12,70,38,157,,156,87,1040,157,,20,21,0,116,,5781,392,4698,3746,905,704,,585,876,351,598,,18,,4,,,0.15,293,0,0,0.00,0.00,Major,649,20,3075,398,1259,107,81,67.55421723193781,49.49007415980796,105.58878504672897,1
File,BlackholeOperator.java,4,0,4,0,1,,,,,1,0,0,4,,4,4,1,4,,0,0,0,4,,44,6,25,15,5,13,,12,17,12,5,,1,,0,,,0.52,4,0,0,0.00,0.00,Major,1,0,44,0,1,1,1,0,0,342.0,342
File,MapJoinMultiKeyBench.java,4,0,4,0,1,,,,,21,1,0,21,,21,20,0,21,,0,0,0,21,,221,48,139,75,24,34,,32,74,53,22,,1,,0,,,0.24,21,0,0,0.00,0.00,Major,5,0,221,0,5,2,2,1350.5279861111112,1350.5279861111112,258.5,175
File,ColumnVectorGenUtil.java,23,3,20,0,5,,,,,1,9,2,9,,9,0,0,9,,0,2,0,7,,256,39,201,57,133,16,,120,151,57,110,,16,,3,,,0.08,48,0,0,0.00,0.00,Major,1,0,256,0,1,1,1,0,0,342.0,342
File,MapJoinOneLongKeyBench.java,4,0,4,0,1,,,,,21,1,0,21,,21,20,0,21,,0,0,0,21,,221,48,139,75,24,34,,32,74,53,22,,1,,0,,,0.24,21,0,0,0.00,0.00,Major,5,0,221,0,5,2,2,1350.5279861111112,1350.5279861111112,258.5,175
File,VectorGroupByOperatorBench.java,15,2,13,0,1,,,,,1,1,0,6,,6,5,10,6,,0,2,0,4,,236,28,177,135,55,33,,98,107,79,47,,2,,1,,,0.19,8,0,0,0.00,0.00,Major,1,0,236,0,1,1,1,0,0,342.0,342
File,AbstractMapJoin.java,17,3,13,1,2,,,,,1,4,0,6,,6,2,8,6,,0,3,2,1,,173,29,125,76,45,19,,65,76,53,28,,2,,1,,,0.15,11,0,0,0.00,0.00,Major,3,0,173,0,3,1,1,2701.0559722222224,2701.0559722222224,342.0,342
File,AbstractOperatorBench.java,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,34,4,15,14,0,15,,8,9,9,0,,0,,0,,,1.00,0,0,0,0.00,0.00,Major,1,0,34,0,1,1,1,0,0,342.0,342
File,MapJoinOneStringKeyBench.java,4,0,4,0,1,,,,,21,1,0,21,,21,20,0,21,,0,0,0,21,,221,48,139,75,24,34,,32,74,53,22,,1,,0,,,0.24,21,0,0,0.00,0.00,Major,5,0,221,0,5,2,2,1350.5279861111112,1350.5279861111112,258.5,175
File,VectorSelectOperatorBench.java,14,1,13,0,1,,,,,1,1,0,6,,6,5,5,6,,0,0,0,6,,166,18,120,71,61,28,,94,102,65,56,,2,,1,,,0.23,7,0,0,0.00,0.00,Major,1,0,166,0,1,1,1,0,0,342.0,342
File,AbstractExpression.java,9,0,9,0,2,,,,,1,0,1,12,,13,13,2,13,,0,0,11,2,,169,17,139,65,68,13,,98,124,66,76,,3,,2,,,0.09,25,0,0,0.00,0.00,Major,5,0,169,0,5,3,3,5414.4470833333335,5414.4470833333335,167.33333333333334,17
File,VectorBatchGenerateUtil.java,25,4,21,1,3,,,,,1,2,0,2,,2,0,0,2,,0,0,0,2,,82,13,51,28,30,18,,37,44,26,22,,4,,3,,,0.35,6,0,0,0.00,0.00,Major,3,0,82,0,3,1,1,2701.0559722222224,2701.0559722222224,342.0,342
File,VectorizedLikeBench.java,5,0,5,0,1,,,,,2,1,0,2,,2,1,0,2,,0,0,0,2,,67,4,24,17,5,39,,13,17,14,4,,1,,0,,,1.63,2,0,0,0.00,0.00,Major,3,0,67,0,3,2,2,4721.446666666667,4721.446666666667,179.5,17
File,TestBeeLineWithArgs.java,13,1,10,3,1,,,,,8,4,4,75,,72,72,6,76,,4,10,0,62,,1148,129,770,410,493,249,,435,521,314,299,,5,,3,,,0.32,84,0,0,0.00,0.00,Major,26,0,594,89,41,23,16,943.9213263888888,1031.3018777777777,205.6086956521739,13
File,TestHiveCli.java,7,0,7,0,1,,,,,1,0,10,31,,31,31,6,31,,0,5,0,26,,308,36,243,107,119,29,,101,139,75,71,,4,,2,,,0.12,37,0,0,0.00,0.00,Major,21,1,308,0,21,10,10,1222.854875,1222.854875,326.5,2
File,MapJoinDesc.java,7,0,6,1,1,,,,,3,0,2,65,,65,65,26,65,,0,2,0,63,,611,93,443,170,210,76,,192,284,138,167,,4,,2,,,0.17,91,0,0,0.00,0.00,Major,22,0,264,25,50,18,9,1475.1805668934242,1245.5497883597884,317.6666666666667,1
File,VectorMapJoinDesc.java,3,0,3,0,1,,,,,5,0,1,49,,41,49,39,49,,0,0,0,49,,278,38,215,94,75,25,,90,137,73,65,,9,,1,,,0.12,50,0,0,0.00,0.00,Major,11,0,183,12,12,4,3,2262.9347222222223,1519.533361111111,128.0,1
File,Vectorizer.java,33,4,26,4,4,,,,,8,18,7,133,,131,115,53,133,,4,85,0,44,,5040,753,3738,1236,2557,565,,2102,2652,1087,2008,,44,,6,,,0.15,580,0,0,0.00,0.00,Major,105,1,4491,1166,199,38,26,206.30293771043773,253.81029647435895,198.6315789473684,1
File,StringColumnStatsAggregator.java,54,1,48,6,6,,,,,4,0,1,5,,5,5,0,5,,0,0,0,5,,304,12,245,71,185,47,,142,181,71,136,,20,,5,,,0.19,32,0,0,0.00,0.00,Major,3,0,304,0,3,2,2,1322.5554166666666,1322.5554166666666,83.0,67
File,TableExport.java,14,0,13,1,3,,,,,3,0,1,15,,15,15,13,15,,1,8,0,6,,315,23,248,78,139,44,,114,162,74,101,,7,,4,,,0.18,46,0,0,0.00,0.00,Major,13,0,315,0,13,6,6,611.8897222222222,611.8897222222222,190.83333333333334,17
File,QTestDruidSerDe.java,15,0,14,1,2,,,,,2,0,1,1,,1,1,0,1,,0,0,1,0,,90,8,54,15,36,28,,13,16,12,4,,2,,1,,,0.52,2,0,0,0.00,0.00,No bug,3,0,90,0,3,3,3,5982.225416666667,5982.225416666667,227.0,45
File,QTestDruidStorageHandler.java,4,0,4,0,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,34,4,9,6,1,21,,3,5,4,1,,1,,0,,,2.33,1,0,0,0.00,0.00,No bug,3,0,34,0,3,3,3,5982.225416666667,5982.225416666667,510.0,294
File,TestHiveDruidQueryBasedInputFormat.java,18,3,15,1,1,,,,,1,1,8,2,,2,1,0,2,,0,1,0,1,,194,16,159,39,131,19,,42,45,28,22,,1,,0,,,0.12,2,0,0,0.00,0.00,No bug,11,0,194,0,11,5,5,1357.2143333333333,1357.2143333333333,173.8,13
File,TestDruidStorageHandler.java,30,2,26,1,1,,,,,3,0,3,23,,23,23,7,23,,0,3,0,20,,763,81,635,264,508,47,,318,344,189,266,,2,,1,,,0.07,24,0,0,0.00,0.00,No bug,11,0,763,0,11,3,3,1010.8931388888889,1010.8931388888889,117.33333333333333,13
File,QTestDruidSerDe2.java,15,0,14,1,2,,,,,2,0,1,1,,1,1,0,1,,0,0,1,0,,92,8,54,15,36,30,,13,16,12,4,,2,,1,,,0.56,2,0,0,0.00,0.00,No bug,2,0,92,0,2,2,2,8482.878611111111,8482.878611111111,318.0,294
File,DerbyConnectorTestUtility.java,5,0,5,0,1,,,,,3,1,0,14,,14,13,4,14,,0,1,3,10,,128,22,88,46,26,19,,36,53,34,20,,2,,1,,,0.22,15,0,0,0.00,0.00,No bug,2,0,128,0,2,2,2,2148.451111111111,2148.451111111111,29.0,13
File,DruidStorageHandlerUtilsTest.java,4,0,4,0,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,32,5,10,6,2,17,,5,7,6,1,,1,,0,,,1.70,1,0,0,0.00,0.00,No bug,1,0,32,0,1,1,1,0,0,45.0,45
File,QTestDruidStorageHandler2.java,4,0,4,0,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,34,4,9,6,1,21,,3,5,4,1,,1,,0,,,2.33,1,0,0,0.00,0.00,No bug,2,0,34,0,2,2,2,8482.878611111111,8482.878611111111,318.0,294
File,TestHiveDruidSplit.java,12,0,12,0,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,46,5,24,18,9,17,,19,21,17,9,,1,,0,,,0.71,1,0,0,0.00,0.00,No bug,1,0,46,0,1,1,1,0,0,45.0,45
File,TestDruidSerDe.java,25,1,20,4,2,,,,,9,4,36,11,,11,7,6,11,,0,5,0,6,,925,57,789,200,641,80,,218,237,158,106,,5,,2,,,0.10,17,0,0,0.00,0.00,No bug,5,0,925,0,5,4,4,1368.0011111111112,1368.0011111111112,563.75,45
