Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,HIVE-22124,13251316,Fix wrong results/ArrayOutOfBound exception in left outer map joins on specific boundary conditions with limit,rameshkumar,rameshkumar,Major,Resolved,Fixed,16/Aug/19 18:45,21/Aug/19 17:56,
Bug,HIVE-22009,13245829,CTLV with user specified location is not honoured ,nareshpr,nareshpr,Major,Resolved,Fixed,18/Jul/19 16:44,24/Jul/19 15:45,
Bug,HIVE-21391,13219497,LLAP: Pool of column vector buffers can cause memory pressure,bslim,prasanth_j,Major,Resolved,Fixed,05/Mar/19 08:54,19/Jul/19 22:34,
Bug,HIVE-21951,13243055,Llap query on external table with header or footer returns incorrect row count.,sankarh,sankarh,Major,Resolved,Won't Fix,03/Jul/19 17:38,09/Jul/19 04:05,
Bug,HIVE-21257,13215403,Vectorized LENGTH UDF doesn't respect the max length of VARCHAR or CHAR in Hive 3+,teddy.choi,teddy.choi,Major,Resolved,Not A Problem,13/Feb/19 05:43,14/Feb/19 07:56,
Bug,HIVE-21244,13215090,NPE in Hive Proto Logger,prasanth_j,prasanth_j,Major,Resolved,Duplicate,11/Feb/19 20:21,13/Feb/19 06:20,
Bug,HIVE-20955,13199865,Calcite Rule HiveExpandDistinctAggregatesRule seems throwing IndexOutOfBoundsException,vgarg,bslim,Major,Resolved,Fixed,21/Nov/18 15:44,10/Dec/18 22:03,
Bug,HIVE-21019,13203077,Fix autoColumnStats tests to make auto stats gather possible.,ychena,ychena,Major,Resolved,Duplicate,07/Dec/18 16:11,10/Dec/18 21:36,
Bug,HIVE-20757,13192012,Autogather stats doesn't work when SDPO (sort dynamic partition optimization) is ON,,vgarg,Major,Resolved,Duplicate,16/Oct/18 18:38,03/Dec/18 22:01,
Bug,HIVE-20577,13185587,Disable org.apache.hive.jdbc.miniHS2.TestHs2ConnectionMetricsHttp.testOpenConnectionMetrics,vgumashta,vgumashta,Major,Resolved,Fixed,17/Sep/18 17:36,17/Sep/18 17:49,
Bug,HIVE-20101,13170398,BloomKFilter: Avoid using the local byte[] arrays entirely,gopalv,gopalv,Major,Resolved,Fixed,06/Jul/18 00:46,31/Jul/18 21:14,
Bug,HIVE-19664,13161242,LLAP reader changes for decimal 64,prasanth_j,prasanth_j,Major,Resolved,Duplicate,22/May/18 22:45,22/May/18 22:58,
Bug,HIVE-28347,13583729,"Make a UDAF 'collect_set' work with complex types, even when map-side aggregation is disabled.",Jeongdae Kim,Jeongdae Kim,Minor,Resolved,Fixed,25/Jun/24 06:09,24/Sep/24 02:15,
Bug,HIVE-28487,13590437,Outdated MetastoreSchemaTool class reference in schemaTool.sh,sbernauer,sbernauer,Minor,Resolved,Fixed,29/Aug/24 10:28,24/Sep/24 02:15,
Bug,HIVE-28426,13587586,Manual import of mysql schema upgrade file fails,pkumarsinha,pkumarsinha,Minor,Resolved,Won't Fix,01/Aug/24 14:15,26/Aug/24 17:32,
Bug,HIVE-21632,13228913,"Hive should not push partition columns to the Parquet predicate, even if the data file contains the partition column",,kuczoram,Minor,Resolved,Duplicate,18/Apr/19 17:34,04/Nov/22 15:10,
Bug,HIVE-25978,13430391,Attributes not removed from org.apache.hadoop.hive.common.metrics.MetricsMBeanImpl ,vcsomor,vcsomor,Minor,Resolved,Won't Fix,24/Feb/22 09:46,28/Feb/22 08:49,
Bug,HIVE-24691,13354929,Ban commons-logging (again),zmatyus,zmatyus,Minor,Resolved,Fixed,27/Jan/21 12:29,02/Feb/21 15:36,
Bug,HIVE-21594,13227022,Warning regarding multiple MOVE triggers is logged even if conflicting triggers are both KILL,prasanth_j,bgoerlitz,Minor,Resolved,Fixed,09/Apr/19 18:57,17/Apr/19 18:00,
Bug,HIVE-22636,13274108,Data loss on skewjoin for ACID tables.,,aditya-shah,Blocker,Resolved,Cannot Reproduce,12/Dec/19 10:56,23/Nov/23 15:43,
Bug,HIVE-25386,13391804,hive-storage-api should not have guava compile dependency,dongjoon,dongjoon,Blocker,Resolved,Fixed,26/Jul/21 06:45,29/Jul/21 00:20,
Bug,HIVE-28166,13573968,Iceberg: Truncate on branch operates on the main table,ayushtkn,ayushtkn,Critical,Resolved,Fixed,30/Mar/24 13:27,24/Sep/24 02:15,
Bug,HIVE-28202,13576206,Incorrect projected column size after ORC upgrade to v1.6.7 ,dkuzmenko,dkuzmenko,Critical,Resolved,Fixed,17/Apr/24 11:42,24/Sep/24 02:15,
Bug,HIVE-28190,13575213,Materialized view rebuild lock heart-beating is broken,InvisibleProgrammer,InvisibleProgrammer,Critical,Resolved,Done,09/Apr/24 17:09,24/Sep/24 02:15,
Bug,HIVE-21750,13234047,INSERT OVERWRITE with empty result set does not clear transactional table,,tlipcon,Critical,Resolved,Duplicate,17/May/19 19:56,22/Aug/23 09:12,
Bug,HIVE-25538,13402159,CommitTxn replay failing during incremental run,ayushtkn,ayushtkn,Critical,Resolved,Fixed,20/Sep/21 11:23,01/Oct/21 09:39,
Bug,HIVE-28121,13572026,Use direct SQL for transactional altering table parameter,lirui,lirui,Major,Resolved,Fixed,15/Mar/24 11:26,23/Nov/24 06:28,
Bug,HIVE-28239,13577712,Fix bug on HMSHandler#checkLimitNumberOfPartitions,wechar,wechar,Major,Resolved,Fixed,30/Apr/24 10:42,25/Sep/24 04:44,
Bug,HIVE-26339,13450562,Vectorized LIKE UDF optimization,ryu_kobayashi,ryu_kobayashi,Major,Resolved,Fixed,17/Jun/22 08:28,24/Sep/24 02:15,
Bug,HIVE-28439,13588148,Iceberg: Bucket partition transform with DECIMAL can throw NPE,okumin,okumin,Major,Resolved,Fixed,07/Aug/24 13:23,24/Sep/24 02:15,
Bug,HIVE-28173,13574515,Issues with staging dirs with materialized views on HDFS encrypted table,scarlin,scarlin,Major,Resolved,Fixed,03/Apr/24 19:39,24/Sep/24 02:15,
Bug,HIVE-28515,13591603,Iceberg: Concurrent queries fail during commit with ValidationException,ayushtkn,ayushtkn,Major,Resolved,Fixed,10/Sep/24 06:55,24/Sep/24 02:15,
Bug,HIVE-28266,13579579,Iceberg: select count(*) from data_files metadata tables gives wrong result,difin,difin,Major,Resolved,Fixed,16/May/24 21:16,24/Sep/24 02:15,
Bug,HIVE-28207,13576650,NullPointerException is thrown when checking column uniqueness,okumin,okumin,Major,Resolved,Fixed,21/Apr/24 11:58,24/Sep/24 02:15,
Bug,HIVE-28451,13589308,JDBC: TableName matcher fix in GenericJdbcDatabaseAccessor#addBoundaryToQuery,dkuzmenko,dkuzmenko,Major,Resolved,Fixed,19/Aug/24 13:12,24/Sep/24 02:15,
Bug,HIVE-28353,13584003,Iceberg: Reading *Files Metadata table files if the column is of TIMESTAMP type,ayushtkn,ayushtkn,Major,Resolved,Fixed,27/Jun/24 04:10,24/Sep/24 02:15,
Bug,HIVE-28264,13579521,OOM/slow compilation when query contains SELECT clauses with nested expressions,kkasa,zabetak,Major,Resolved,Fixed,16/May/24 13:00,24/Sep/24 02:15,
Bug,HIVE-26018,13432869,The result of UNIQUEJOIN on Hive on Tez is inconsistent with that of MR,seonggon,luguangming,Major,Resolved,Fixed,09/Mar/22 13:15,24/Sep/24 02:15,
Bug,HIVE-28278,13580291,Iceberg: Stats: IllegalStateException Invalid file: file length 0,dkuzmenko,dkuzmenko,Major,Resolved,Fixed,23/May/24 15:44,24/Sep/24 02:15,
Bug,HIVE-28143,13572833,"After HIVE-27492 fix, some HPLSQL built-in functions like trim, lower are not working when used in insert statement.",Dayakar,Dayakar,Major,Resolved,Fixed,21/Mar/24 13:29,24/Sep/24 02:15,
Bug,HIVE-28285,13580890,Exception when querying JDBC tables with Hive/DB column types mismatch,zabetak,zabetak,Major,Resolved,Fixed,29/May/24 15:38,23/Sep/24 11:38,
Bug,HIVE-28006,13565043,Materialized view with aggregate function incorrectly shows it allows incremental rebuild,kkasa,kkasa,Major,Resolved,Fixed,17/Jan/24 09:00,23/Sep/24 11:24,
Bug,HIVE-28366,13585341,Iceberg: Concurrent Insert and IOW produce incorrect result ,dkuzmenko,dkuzmenko,Major,Resolved,Fixed,10/Jul/24 16:47,17/Sep/24 07:25,
Bug,HIVE-28330,13582678,Fix example output of UDFHex,yao,yao,Major,Resolved,Fixed,14/Jun/24 09:41,18/Jun/24 03:19,
Bug,HIVE-22633,13274063,GroupByOperator may throw NullPointerException when setting data skew optimization parameters,zhangbutao,zhangbutao,Major,Resolved,Won't Fix,12/Dec/19 08:14,22/May/24 10:46,
Bug,HIVE-20016,13168674,Investigate TestJdbcWithMiniHS2.testParallelCompilation3 random failure,ychena,ychena,Major,Resolved,Fixed,27/Jun/18 17:16,05/May/24 05:07,
Bug,HIVE-26778,13505931,Pushdown Date data type to metastore via direct sql / JDO,srahman,srahman,Major,Resolved,Fixed,25/Nov/22 12:59,18/Apr/24 03:55,
Bug,HIVE-19907,13166260,Driver.isValidTxnListState should rely on global txn list,jcamacho,ekoifman,Major,Resolved,Not A Problem,15/Jun/18 03:52,27/Feb/24 22:23,
Bug,HIVE-26017,13432843,Insert with partition value containing colon and space is creating partition having wrong value,maheshk114,maheshk114,Major,Resolved,Fixed,09/Mar/22 11:19,06/Dec/23 10:22,
Bug,HIVE-26508,13479507,Remove netty transitive dependencies from hcatalog and hbase pom files to avoid CVEs,hemanth619,hemanth619,Major,Resolved,Won't Fix,31/Aug/22 15:03,27/Jan/23 18:32,
Bug,HIVE-26415,13472424,Add epoch time in the information_schema.scheduled_executions view,shreenidhi,imkindia12,Major,Resolved,Fixed,20/Jul/22 08:50,18/Nov/22 05:18,05/Aug/22 00:00
Bug,HIVE-25777,13415649,ACID: Pick the compactor transaction over insert dir,dkuzmenko,gopalv,Major,Resolved,Fixed,06/Dec/21 17:50,30/Aug/22 09:34,
Bug,HIVE-25905,13425128,ORDER BY colName DESC does not honour 'hive.default.nulls.last' property in absence of NULLS_LAST/FIRST,asolimando,asolimando,Major,Resolved,Not A Bug,27/Jan/22 10:09,31/Jan/22 16:55,
Bug,HIVE-25408,13392631,AlterTableSetOwnerAnalyzer should send Hive Privilege Objects for Authorization. ,hemanth619,hemanth619,Major,Resolved,Fixed,29/Jul/21 23:28,12/Oct/21 21:50,
Bug,HIVE-25605,13405681,JdbcStorageHandler Create table fails when hive.sql.schema is specified and is not the default one,chiran54321,chiran54321,Major,Resolved,Duplicate,08/Oct/21 20:11,09/Oct/21 17:13,
Bug,HIVE-25188,13381693,JsonSerDe: Unable to read the string value from a nested json,dengzh,dengzh,Major,Resolved,Not A Problem,02/Jun/21 12:30,20/Sep/21 16:00,
Bug,HIVE-24944,13367753,"When the default engine of the hiveserver is MR and the tez engine is set by the client, the client TEZ progress log cannot be printed normally",zhangqidong,zhangqidong,Major,Resolved,Fixed,26/Mar/21 02:37,05/Sep/21 00:10,
Bug,HIVE-23752,13313116,Cast as Date for invalid date produce the valid output,ashish-kumar-sharma,Rajkumar Singh,Major,Resolved,Duplicate,23/Jun/20 22:08,26/Jul/21 05:06,
Bug,HIVE-25316,13388426,Map partition key columns when pushing TNK op through select,kkasa,zabetak,Major,Resolved,Fixed,08/Jul/21 16:14,13/Jul/21 10:35,
Bug,HIVE-24514,13345227,UpdateMDatabaseURI does not update managed location URI,prasanth_j,prasanth_j,Major,Resolved,Fixed,10/Dec/20 09:09,24/Feb/21 17:13,
Bug,HIVE-24165,13327552,CBO: Query fails after multiple count distinct rewrite ,nemon,nemon,Major,Resolved,Invalid,15/Sep/20 01:40,23/Oct/20 06:42,
Bug,HIVE-24198,13329214,Map side SMB join is producing wrong result,maheshk114,maheshk114,Major,Resolved,Fixed,24/Sep/20 13:10,26/Sep/20 11:25,
Bug,HIVE-22290,13260306,ObjectStore.cleanWriteNotificationEvents and ObjectStore.cleanupEvents OutOfMemory on large number of pending events,nareshpr,tprelle,Major,Resolved,Fixed,03/Oct/19 13:43,16/Sep/20 03:07,
Bug,HIVE-21437,13221306,Vectorization: Decimal64 division with integer columns,amagyar,gopalv,Major,Resolved,Fixed,13/Mar/19 06:03,16/Jun/20 11:44,
Bug,HIVE-21880,13239850,Enable flaky test TestReplicationScenariosAcidTablesBootstrap.testBootstrapAcidTablesDuringIncrementalWithConcurrentWrites.,ashutosh.bapat,sankarh,Major,Resolved,Fixed,17/Jun/19 03:50,16/Jun/20 00:24,
Bug,HIVE-22313,13261350,"Some of the HMS auth LDAP hive config names do not start with ""hive.""",ashutosh.bapat,ashutosh.bapat,Major,Resolved,Fixed,09/Oct/19 14:51,09/Jun/20 16:07,
Bug,HIVE-22955,13288637,PreUpgradeTool can fail because access to CharsetDecoder is not synchronized,ghanko,ghanko,Major,Resolved,Fixed,02/Mar/20 08:24,25/Mar/20 09:29,
Bug,HIVE-20948,13199656,Eliminate file rename in compactor,lpinter,ekoifman,Major,Resolved,Fixed,20/Nov/18 17:31,06/Mar/20 15:25,
Bug,HIVE-22950,13288436,Fix invalid repo url in pom,zhangbutao,zhangbutao,Major,Resolved,Duplicate,29/Feb/20 09:13,29/Feb/20 10:22,
Bug,HIVE-22124,13251316,Fix wrong results/ArrayOutOfBound exception in left outer map joins on specific boundary conditions with limit,rameshkumar,rameshkumar,Major,Resolved,Fixed,16/Aug/19 18:45,21/Aug/19 17:56,
Bug,HIVE-22009,13245829,CTLV with user specified location is not honoured ,nareshpr,nareshpr,Major,Resolved,Fixed,18/Jul/19 16:44,24/Jul/19 15:45,
Bug,HIVE-21391,13219497,LLAP: Pool of column vector buffers can cause memory pressure,bslim,prasanth_j,Major,Resolved,Fixed,05/Mar/19 08:54,19/Jul/19 22:34,
Bug,HIVE-21951,13243055,Llap query on external table with header or footer returns incorrect row count.,sankarh,sankarh,Major,Resolved,Won't Fix,03/Jul/19 17:38,09/Jul/19 04:05,
Bug,HIVE-21257,13215403,Vectorized LENGTH UDF doesn't respect the max length of VARCHAR or CHAR in Hive 3+,teddy.choi,teddy.choi,Major,Resolved,Not A Problem,13/Feb/19 05:43,14/Feb/19 07:56,
Bug,HIVE-21244,13215090,NPE in Hive Proto Logger,prasanth_j,prasanth_j,Major,Resolved,Duplicate,11/Feb/19 20:21,13/Feb/19 06:20,
Bug,HIVE-20955,13199865,Calcite Rule HiveExpandDistinctAggregatesRule seems throwing IndexOutOfBoundsException,vgarg,bslim,Major,Resolved,Fixed,21/Nov/18 15:44,10/Dec/18 22:03,
Bug,HIVE-21019,13203077,Fix autoColumnStats tests to make auto stats gather possible.,ychena,ychena,Major,Resolved,Duplicate,07/Dec/18 16:11,10/Dec/18 21:36,
Bug,HIVE-20757,13192012,Autogather stats doesn't work when SDPO (sort dynamic partition optimization) is ON,,vgarg,Major,Resolved,Duplicate,16/Oct/18 18:38,03/Dec/18 22:01,
Bug,HIVE-20577,13185587,Disable org.apache.hive.jdbc.miniHS2.TestHs2ConnectionMetricsHttp.testOpenConnectionMetrics,vgumashta,vgumashta,Major,Resolved,Fixed,17/Sep/18 17:36,17/Sep/18 17:49,
Bug,HIVE-20101,13170398,BloomKFilter: Avoid using the local byte[] arrays entirely,gopalv,gopalv,Major,Resolved,Fixed,06/Jul/18 00:46,31/Jul/18 21:14,
Bug,HIVE-19664,13161242,LLAP reader changes for decimal 64,prasanth_j,prasanth_j,Major,Resolved,Duplicate,22/May/18 22:45,22/May/18 22:58,
Bug,HIVE-28347,13583729,"Make a UDAF 'collect_set' work with complex types, even when map-side aggregation is disabled.",Jeongdae Kim,Jeongdae Kim,Minor,Resolved,Fixed,25/Jun/24 06:09,24/Sep/24 02:15,
Bug,HIVE-28487,13590437,Outdated MetastoreSchemaTool class reference in schemaTool.sh,sbernauer,sbernauer,Minor,Resolved,Fixed,29/Aug/24 10:28,24/Sep/24 02:15,
Bug,HIVE-28426,13587586,Manual import of mysql schema upgrade file fails,pkumarsinha,pkumarsinha,Minor,Resolved,Won't Fix,01/Aug/24 14:15,26/Aug/24 17:32,
Bug,HIVE-21632,13228913,"Hive should not push partition columns to the Parquet predicate, even if the data file contains the partition column",,kuczoram,Minor,Resolved,Duplicate,18/Apr/19 17:34,04/Nov/22 15:10,
Bug,HIVE-25978,13430391,Attributes not removed from org.apache.hadoop.hive.common.metrics.MetricsMBeanImpl ,vcsomor,vcsomor,Minor,Resolved,Won't Fix,24/Feb/22 09:46,28/Feb/22 08:49,
Bug,HIVE-24691,13354929,Ban commons-logging (again),zmatyus,zmatyus,Minor,Resolved,Fixed,27/Jan/21 12:29,02/Feb/21 15:36,
Bug,HIVE-21594,13227022,Warning regarding multiple MOVE triggers is logged even if conflicting triggers are both KILL,prasanth_j,bgoerlitz,Minor,Resolved,Fixed,09/Apr/19 18:57,17/Apr/19 18:00,
